"Laboratorio","Provincia","Cantón","Rango","Sexo","N dosis","Periodo","Cantidad"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV1 - PRIMER DOSIS VIDA","4-2021","43"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","62"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","143"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","175"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","6"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV1 - PRIMER DOSIS VIDA","12-2020","10"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV1 - PRIMER DOSIS VIDA","1-2021","95"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV1 - PRIMER DOSIS VIDA","2-2021","90"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV1 - PRIMER DOSIS VIDA","3-2021","69"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV1 - PRIMER DOSIS VIDA","4-2021","27"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","32"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","70"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","139"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","9"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV1 - PRIMER DOSIS VIDA","12-2020","18"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV1 - PRIMER DOSIS VIDA","1-2021","394"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV1 - PRIMER DOSIS VIDA","2-2021","261"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV1 - PRIMER DOSIS VIDA","3-2021","198"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV1 - PRIMER DOSIS VIDA","4-2021","68"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","115"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","302"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","374"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","12"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV1 - PRIMER DOSIS VIDA","12-2020","11"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV1 - PRIMER DOSIS VIDA","1-2021","253"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV1 - PRIMER DOSIS VIDA","2-2021","146"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV1 - PRIMER DOSIS VIDA","3-2021","145"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV1 - PRIMER DOSIS VIDA","4-2021","60"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","87"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","177"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","227"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","11"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV1 - PRIMER DOSIS VIDA","12-2020","4"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV1 - PRIMER DOSIS VIDA","1-2021","247"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV1 - PRIMER DOSIS VIDA","2-2021","155"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV1 - PRIMER DOSIS VIDA","3-2021","125"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV1 - PRIMER DOSIS VIDA","4-2021","47"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","55"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","196"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","227"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","8"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV1 - PRIMER DOSIS VIDA","12-2020","7"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV1 - PRIMER DOSIS VIDA","1-2021","168"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV1 - PRIMER DOSIS VIDA","2-2021","136"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV1 - PRIMER DOSIS VIDA","3-2021","104"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV1 - PRIMER DOSIS VIDA","4-2021","37"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","51"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","126"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","199"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","7"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV1 - PRIMER DOSIS VIDA","12-2020","4"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV1 - PRIMER DOSIS VIDA","1-2021","169"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV1 - PRIMER DOSIS VIDA","2-2021","100"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV1 - PRIMER DOSIS VIDA","3-2021","89"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV1 - PRIMER DOSIS VIDA","4-2021","66"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","28"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","144"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","170"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","2"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV1 - PRIMER DOSIS VIDA","12-2020","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV1 - PRIMER DOSIS VIDA","1-2021","116"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV1 - PRIMER DOSIS VIDA","2-2021","78"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV1 - PRIMER DOSIS VIDA","3-2021","89"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV1 - PRIMER DOSIS VIDA","4-2021","59"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","26"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","88"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","151"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","50 a 60","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","4"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV1 - PRIMER DOSIS VIDA","12-2020","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV1 - PRIMER DOSIS VIDA","1-2021","35"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV1 - PRIMER DOSIS VIDA","2-2021","119"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV1 - PRIMER DOSIS VIDA","3-2021","331"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV1 - PRIMER DOSIS VIDA","4-2021","961"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","6"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","30"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","383"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","10"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV1 - PRIMER DOSIS VIDA","1-2021","34"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV1 - PRIMER DOSIS VIDA","2-2021","114"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV1 - PRIMER DOSIS VIDA","3-2021","324"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV1 - PRIMER DOSIS VIDA","4-2021","704"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","6"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","29"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","374"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","60 a 70","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","11"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV1 - PRIMER DOSIS VIDA","1-2021","32"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV1 - PRIMER DOSIS VIDA","2-2021","279"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV1 - PRIMER DOSIS VIDA","3-2021","1357"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV1 - PRIMER DOSIS VIDA","4-2021","1558"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","32"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","1392"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","29"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV1 - PRIMER DOSIS VIDA","1-2021","21"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV1 - PRIMER DOSIS VIDA","2-2021","149"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV1 - PRIMER DOSIS VIDA","3-2021","1068"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV1 - PRIMER DOSIS VIDA","4-2021","1300"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","1"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","16"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","1050"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","70 a 80","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","26"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV1 - PRIMER DOSIS VIDA","1-2021","51"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV1 - PRIMER DOSIS VIDA","2-2021","688"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV1 - PRIMER DOSIS VIDA","3-2021","1147"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV1 - PRIMER DOSIS VIDA","4-2021","320"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","50"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","1647"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","12"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV1 - PRIMER DOSIS VIDA","1-2021","31"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV1 - PRIMER DOSIS VIDA","2-2021","467"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV1 - PRIMER DOSIS VIDA","3-2021","870"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV1 - PRIMER DOSIS VIDA","4-2021","279"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","31"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","1195"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","80 a 90","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","12"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV1 - PRIMER DOSIS VIDA","1-2021","32"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV1 - PRIMER DOSIS VIDA","2-2021","203"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV1 - PRIMER DOSIS VIDA","3-2021","249"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV1 - PRIMER DOSIS VIDA","4-2021","69"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","30"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","418"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","5"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV1 - PRIMER DOSIS VIDA","1-2021","15"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV1 - PRIMER DOSIS VIDA","2-2021","131"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV1 - PRIMER DOSIS VIDA","3-2021","121"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV1 - PRIMER DOSIS VIDA","4-2021","35"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","15"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","237"
"PFIZER INC - USA","ALAJUELA","ALAJUELA","90 a 100","M","DV2 - SEGUNDA DOSIS VIDA","4-2021","3"
"PFIZER INC - USA","ALAJUELA","ATENAS","100 o mas","F","DV1 - PRIMER DOSIS VIDA","2-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","100 o mas","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","100 o mas","M","DV1 - PRIMER DOSIS VIDA","2-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","100 o mas","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV1 - PRIMER DOSIS VIDA","12-2020","2"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV1 - PRIMER DOSIS VIDA","1-2021","33"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV1 - PRIMER DOSIS VIDA","2-2021","14"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV1 - PRIMER DOSIS VIDA","3-2021","17"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV1 - PRIMER DOSIS VIDA","4-2021","2"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","12"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","23"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","20"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV1 - PRIMER DOSIS VIDA","12-2020","3"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV1 - PRIMER DOSIS VIDA","1-2021","22"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV1 - PRIMER DOSIS VIDA","2-2021","8"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV1 - PRIMER DOSIS VIDA","3-2021","8"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV1 - PRIMER DOSIS VIDA","4-2021","2"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","9"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","15"
"PFIZER INC - USA","ALAJUELA","ATENAS","20 a 30","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","14"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV1 - PRIMER DOSIS VIDA","12-2020","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV1 - PRIMER DOSIS VIDA","1-2021","65"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV1 - PRIMER DOSIS VIDA","2-2021","49"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV1 - PRIMER DOSIS VIDA","3-2021","31"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV1 - PRIMER DOSIS VIDA","4-2021","5"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","18"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","46"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","64"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","F","DV2 - SEGUNDA DOSIS VIDA","4-2021","2"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV1 - PRIMER DOSIS VIDA","12-2020","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV1 - PRIMER DOSIS VIDA","1-2021","31"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV1 - PRIMER DOSIS VIDA","2-2021","25"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV1 - PRIMER DOSIS VIDA","3-2021","17"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV1 - PRIMER DOSIS VIDA","4-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","6"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","25"
"PFIZER INC - USA","ALAJUELA","ATENAS","30 a 40","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","31"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV1 - PRIMER DOSIS VIDA","12-2020","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV1 - PRIMER DOSIS VIDA","1-2021","26"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV1 - PRIMER DOSIS VIDA","2-2021","15"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV1 - PRIMER DOSIS VIDA","3-2021","16"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","4"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","22"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","22"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV1 - PRIMER DOSIS VIDA","12-2020","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV1 - PRIMER DOSIS VIDA","1-2021","20"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV1 - PRIMER DOSIS VIDA","2-2021","19"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV1 - PRIMER DOSIS VIDA","3-2021","15"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV1 - PRIMER DOSIS VIDA","4-2021","2"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","1-2021","5"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","2-2021","18"
"PFIZER INC - USA","ALAJUELA","ATENAS","40 a 50","M","DV2 - SEGUNDA DOSIS VIDA","3-2021","29"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV1 - PRIMER DOSIS VIDA","1-2021","19"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV1 - PRIMER DOSIS VIDA","2-2021","18"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV1 - PRIMER DOSIS VIDA","3-2021","7"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV1 - PRIMER DOSIS VIDA","4-2021","1"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","1-2021","3"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","2-2021","15"
"PFIZER INC - USA","ALAJUELA","ATENAS","50 a 60","F","DV2 - SEGUNDA DOSIS VIDA","3-2021","22"
